player_id,player_name,season,league,team,minutes_played,age,role_source_column,role_source_value,role_model_family,arbitrated_position,arbitrated_role_group,arbitrated_lane,arbitrated_confidence,position_conflict_flag,season_avg_x,season_avg_y,season_position_zone,spatial_matches_used,spatial_wide_pct,spatial_right_pct,spatial_left_pct,spatial_high_wide_pct,primary_role,secondary_role,role_score,role_bvalue,confidence,cohort_size,warning,measured_metrics_available,measured_metrics_possible,partial_proxies_available,partial_proxies_possible,measured_inputs,partial_proxies,unmeasured_traits
988252,Tim Siersleben,2025-26,Bundesliga,1. FC Heidenheim,1093.0,26.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.82,True,30.92647333333333,70.45334666666666,deep_left,15.0,0.8,0.0,0.8,0.0,Ball-Playing Centre-Back,No-Nonsense Centre-Back,34.21,-0.3157,0.607,886,,5.0,7.0,0.0,0.0,"passes_total_per90, passes_accurate_per90, long_balls_accurate_per90, total_progression_per90, carries_per90",,"composure, decisions, vision, technique, first touch, positioning"
845742,Adrian Beck,2025-26,Bundesliga,1. FC Heidenheim,884.0,28.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,52.793825,51.24675,mid_central,24.0,0.25,0.0833,0.1667,0.0833,Pressing Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
842922,Stefan Schimmer,2025-26,Bundesliga,1. FC Heidenheim,812.0,32.0,arbitrated_role_group,ST,ST,ST,ST,Central Forward,0.86,True,64.42951481481481,50.15224444444444,high_central,27.0,0.0,0.0,0.0,0.0,Poacher,Centre Forward,79.73,0.5946,0.83,859,,4.0,5.0,2.0,2.0,"goals_per90, xg_per90, shots_on_target_per90, shots_total_per90","offsides_per90, xgot_per90","anticipation, composure, concentration, off the ball, acceleration"
1097453,Luca Kerber,2025-26,Bundesliga,1. FC Heidenheim,721.0,24.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,52.1976,43.21102222222223,mid_central,18.0,0.3889,0.2778,0.1111,0.0556,Pressing Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
800400,Sirlord Conteh,2025-26,Bundesliga,1. FC Heidenheim,619.0,29.0,arbitrated_role_group,WM,W,RM,WM,Right Wide Midfielder,0.79,True,57.91793333333333,28.39378,mid_right,15.0,0.6667,0.6667,0.0,0.2667,Inside Forward,Wide Forward,53.38,0.0677,0.567,872,,4.0,6.0,0.0,0.0,"shots_total_per90, xg_per90, goals_per90, dribbles_attempted_per90",,"composure, flair, vision, off the ball, pace"
918437,Mikkel Kaufmann,2025-26,Bundesliga,1. FC Heidenheim,546.0,25.0,arbitrated_role_group,ST-SS,ST,SS,ST-SS,Central Support Forward,0.84,True,54.3162625,49.7565,mid_central,16.0,0.0625,0.0,0.0625,0.0625,Target Forward,Deep-Lying Forward,74.2,0.484,1.0,859,,5.0,5.0,1.0,1.0,"aerial_duels_won_per90, aerial_duels_total_per90, duels_won_per90, fouls_drawn_per90, xg_per90",height_cm,"strength, jumping, balance, bravery, hold-up technique"
933833,Christian Joe Conteh,2025-26,Bundesliga,1. FC Heidenheim,405.0,26.0,arbitrated_role_group,AM-W,W,LW,AM-W,Left Wide Forward,0.82,True,65.37926666666667,59.49134444444445,high_central,9.0,0.8889,0.2222,0.6667,0.7778,Playmaking Winger,Winger,57.61,0.1521,0.708,872,,5.0,6.0,0.0,0.0,"key_passes_per90, xa_per90, crosses_accurate_per90, dribbles_attempted_per90, passes_opposition_half_total_per90",,"vision, technique, decisions, composure, flair"
1083359,Frank Feller,2025-26,Bundesliga,1. FC Heidenheim,270.0,22.0,arbitrated_role_group,GK,GK,GK,GK,Central,0.95,False,12.555033333333334,48.44323333333333,deep_central,3.0,0.0,0.0,0.0,0.0,Ball-Playing Goalkeeper,Sweeper Keeper,88.15,0.763,0.83,683,,4.0,5.0,1.0,1.0,"passes_total_per90, passes_accurate_per90, long_balls_accurate_per90, gk_sweeper_accurate_per90",gk_sweeper_total_per90,"kicking, passing technique, composure, decisions, one-on-ones"
940236,Thomas Keller,2025-26,Bundesliga,1. FC Heidenheim,191.0,26.0,arbitrated_role_group,DM,DM,DM,DM,Defensive Midfield,0.86,True,38.5095,38.36285,mid_central,4.0,0.5,0.5,0.0,0.0,Box-to-Box Midfielder,Half-Back,88.02,0.7604,0.364,145,,3.0,7.0,0.0,1.0,"passes_total_per90, shots_total_per90, xa_per90",,"work rate, stamina, off the ball, strength, pace"
2192753,Adam Kölle,2025-26,Bundesliga,1. FC Heidenheim,89.0,20.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.87,True,40.43656666666666,35.93335,mid_central,6.0,0.5,0.5,0.0,0.0,No-Nonsense Centre-Back,Centre-Back,75.73,0.5146,0.117,886,,1.0,4.0,0.0,0.0,aerial_duels_won_per90,,"marking, positioning, jumping, strength, bravery"
