blocked_x,blocked_y,category,end_x,end_y,goal_mouth_y,goal_mouth_z,match_id,minute,note,outcome,qualifiers,satisfied_event_types,second,type,x,y
,,Pass,68.1,2.2,,,1983558,16,,Successful,"{'Zone': 'Right', 'PassEndX': '68.1', 'PassEndY': '2.2', 'Length': '12.7', 'Angle': '5.74'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",24,Pass,57.7,11.8
,,Pass,56.6,48.4,,,1983558,16,,Successful,"{'Zone': 'Center', 'PassEndX': '56.6', 'PassEndY': '48.4', 'Length': '20.9', 'Angle': '1.53'}","[91, 119, 117, 30, 36, 37, 216, 218]",29,Pass,55.7,17.7
,,Pass,53.7,5.0,,,1983558,21,,Successful,"{'Zone': 'Right', 'PassEndX': '53.7', 'PassEndY': '5.0', 'Length': '7.5', 'Angle': '3.88'}","[91, 119, 117, 30, 35, 38, 216, 218]",8,Pass,59.0,12.4
,,Pass,53.5,3.1,,,1983558,29,,Successful,"{'Zone': 'Right', 'PassEndX': '53.5', 'PassEndY': '3.1', 'Length': '16.7', 'Angle': '5.91'}","[91, 119, 117, 30, 36, 38, 216, 218]",16,Pass,38.7,12.1
,,Pass,35.4,73.4,,,1983558,29,,Successful,"{'Longball': True, 'Zone': 'Back', 'PassEndX': '35.4', 'PassEndY': '73.4', 'Length': '35.8', 'Angle': '1.63'}","[91, 117, 127, 35, 37, 216, 218]",20,Pass,37.4,20.8
,,Pass,75.9,0.0,,,1983558,29,,Unsuccessful,"{'Zone': 'Right', 'PassEndX': '75.9', 'PassEndY': '0.0', 'Length': '19.1', 'Angle': '5.42'}","[91, 120, 29, 36, 38, 217, 218]",32,Pass,64.1,19.4
,,Pass,72.0,36.8,,,1983558,30,,Successful,"{'Zone': 'Center', 'PassEndX': '72.0', 'PassEndY': '36.8', 'Chipped': True, 'Length': '16.6', 'Angle': '0.66'}","[91, 119, 117, 30, 124, 205, 36, 37, 217, 218]",3,Pass,59.5,21.9
,,Pass,94.6,32.5,,,1983558,31,,Successful,"{'Longball': True, 'FreekickTaken': True, 'Zone': 'Center', 'PassEndX': '94.6', 'PassEndY': '32.5', 'Chipped': True, 'Length': '32.6', 'Angle': '5.58'}","[91, 119, 117, 124, 127, 132, 205, 36, 38, 217, 218]",13,Pass,70.9,63.5
,,Pass,58.3,21.3,,,1983558,31,,Successful,"{'Zone': 'Center', 'PassEndX': '58.3', 'PassEndY': '21.3', 'Length': '7.4', 'Angle': '3.40'}","[91, 119, 117, 30, 35, 38, 216, 218]",38,Pass,65.1,24.1
,,Pass,38.3,41.8,,,1983558,31,,Successful,"{'Zone': 'Back', 'PassEndX': '38.3', 'PassEndY': '41.8', 'Length': '12.8', 'Angle': '2.31'}","[91, 117, 30, 35, 37, 216, 218]",56,Pass,46.5,27.8
,,Pass,86.0,1.3,,,1983558,35,,Successful,"{'Zone': 'Right', 'PassEndX': '86.0', 'PassEndY': '1.3', 'Length': '7.3', 'Angle': '5.67'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",3,Pass,80.3,7.5
,,Pass,60.7,76.5,,,1983558,40,,Successful,"{'Zone': 'Center', 'PassEndX': '60.7', 'PassEndY': '76.5', 'Length': '12.2', 'Angle': '3.94'}","[91, 119, 117, 30, 35, 38, 216, 218]",8,Pass,68.8,89.4
,,Pass,89.2,58.8,,,1983558,40,,Unsuccessful,"{'Cross': True, 'Zone': 'Center', 'LeftFoot': True, 'PassEndX': '89.2', 'PassEndY': '58.8', 'Chipped': True, 'Length': '26.5', 'Angle': '5.62'}","[91, 138, 124, 126, 36, 38, 217, 218]",15,Pass,69.4,82.9
,,Clearance,20.5,32.6,,,1983558,42,,Successful,"{'Head': True, 'Zone': 'Back', 'PassEndX': '20.5', 'PassEndY': '32.6', 'Length': '18.3', 'Angle': '4.66'}","[91, 94, 95, 57, 215]",48,Clearance,21.5,59.5
,,Tackle,,,,,1983558,42,,Unsuccessful,"{'Zone': 'Back', 'StandingSave': True, 'OppositeRelatedEvent': '266', 'Defensive': True}","[91, 142]",56,Tackle,25.9,16.6
,,BallRecovery,,,,,1983558,42,,Successful,{},[93],57,BallRecovery,21.3,15.2
,,Pass,5.2,29.4,,,1983558,42,,Successful,"{'Zone': 'Back', 'PassEndX': '5.2', 'PassEndY': '29.4', 'Length': '13.8', 'Angle': '2.37'}","[91, 117, 30, 35, 37, 215, 218]",59,Pass,14.6,15.2
,,BallTouch,,,,,1983558,44,,Successful,{'Zone': 'Back'},[91],29,BallTouch,36.5,45.3
,,Pass,58.6,81.4,,,1983558,47,,Successful,"{'Zone': 'Left', 'PassEndX': '58.6', 'PassEndY': '81.4', 'Length': '10.7', 'Angle': '1.24'}","[91, 119, 117, 30, 36, 37, 216, 218]",8,Pass,55.3,66.5
,,Pass,61.5,86.8,,,1983558,47,,Successful,"{'Zone': 'Left', 'PassEndX': '61.5', 'PassEndY': '86.8', 'Length': '10.3', 'Angle': '1.67'}","[91, 119, 117, 30, 35, 37, 216, 218]",12,Pass,62.5,71.7
,,Pass,37.9,74.7,,,1983558,48,,Successful,"{'Zone': 'Back', 'PassEndX': '37.9', 'PassEndY': '74.7', 'Length': '21.4', 'Angle': '1.37'}","[91, 117, 30, 36, 37, 216, 218]",58,Pass,33.8,43.9
,,Pass,79.6,7.6,,,1983558,49,,Successful,"{'Zone': 'Right', 'PassEndX': '79.6', 'PassEndY': '7.6', 'Length': '3.6', 'Angle': '3.70'}","[91, 119, 117, 30, 205, 35, 38, 217, 218]",26,Pass,82.5,10.4
,,Pass,87.6,75.6,,,1983558,49,,Successful,"{'Longball': True, 'Zone': 'Center', 'PassEndX': '87.6', 'PassEndY': '75.6', 'Chipped': True, 'Length': '43.1', 'Angle': '1.29'}","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",36,Pass,76.1,14.8
,,Pass,70.8,64.3,,,1983558,49,,Successful,"{'Zone': 'Center', 'PassEndX': '70.8', 'PassEndY': '64.3', 'Length': '9.1', 'Angle': '4.33'}","[91, 119, 117, 30, 205, 35, 38, 217, 218]",51,Pass,74.0,76.7
,,Pass,64.7,2.2,,,1983558,51,,Successful,"{'Zone': 'Right', 'PassEndX': '64.7', 'PassEndY': '2.2', 'Length': '15.6', 'Angle': '5.42'}","[91, 119, 117, 30, 36, 38, 216, 218]",47,Pass,55.1,19.7
,,Pass,66.9,70.8,,,1983558,51,,Successful,"{'Zone': 'Center', 'PassEndX': '66.9', 'PassEndY': '70.8', 'Length': '15.6', 'Angle': '1.16'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",57,Pass,60.9,49.8
,,Pass,72.4,95.2,,,1983558,52,,Successful,"{'Zone': 'Left', 'PassEndX': '72.4', 'PassEndY': '95.2', 'Length': '20.1', 'Angle': '1.20'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",6,Pass,65.5,67.7
,,Challenge,,,,,1983558,52,,Unsuccessful,"{'Zone': 'Back', 'OppositeRelatedEvent': '351', 'Defensive': True}",[55],56,Challenge,39.2,27.6
,,MissedShots,,,44.0,22.2,1983558,56,,Successful,"{'OutOfBoxCentre': True, 'DirectFreekick': True, 'Zone': 'Center', 'LeftFoot': True, 'GoalMouthY': '44.0', 'GoalMouthZ': '22.2'}","[91, 7, 10, 89, 2, 5, 13]",46,MissedShots,81.6,32.9
,,Pass,57.3,3.7,,,1983558,57,,Successful,"{'Zone': 'Right', 'PassEndX': '57.3', 'PassEndY': '3.7', 'Length': '8.4', 'Angle': '3.61'}","[91, 119, 117, 30, 35, 38, 216, 218]",42,Pass,64.4,9.3
,,Pass,37.4,29.4,,,1983558,61,,Successful,"{'Zone': 'Back', 'PassEndX': '37.4', 'PassEndY': '29.4', 'Length': '14.9', 'Angle': '4.53'}","[91, 117, 30, 35, 38, 216, 218]",35,Pass,39.9,50.9
,,BallTouch,,,,,1983558,62,,Successful,{'Zone': 'Back'},[91],18,BallTouch,30.9,30.8
,,Pass,40.1,11.2,,,1983558,62,,Successful,"{'Zone': 'Back', 'PassEndX': '40.1', 'PassEndY': '11.2', 'LayOff': True, 'Length': '8.8', 'Angle': '4.00'}","[91, 117, 30, 35, 38, 216, 218]",58,Pass,45.6,21.0
,,TakeOn,,,,,1983558,64,,Unsuccessful,"{'Zone': 'Back', 'OppositeRelatedEvent': '415', 'Defensive': True}","[91, 53]",8,TakeOn,31.9,61.5
,,Pass,45.3,40.1,,,1983558,64,,Successful,"{'Zone': 'Back', 'PassEndX': '45.3', 'PassEndY': '40.1', 'Length': '11.1', 'Angle': '2.61'}","[91, 117, 30, 35, 37, 216, 218]",38,Pass,54.4,31.8
,,Pass,77.8,9.6,,,1983558,65,,Successful,"{'Zone': 'Right', 'PassEndX': '77.8', 'PassEndY': '9.6', 'Length': '11.2', 'Angle': '5.49'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",20,Pass,70.3,21.4
,,Pass,53.8,24.4,,,1983558,66,,Successful,"{'Zone': 'Center', 'PassEndX': '53.8', 'PassEndY': '24.4', 'Length': '16.4', 'Angle': '2.84'}","[91, 119, 117, 30, 35, 37, 216, 218]",8,Pass,68.7,17.2
,,Pass,57.8,26.9,,,1983558,66,,Successful,"{'Zone': 'Center', 'PassEndX': '57.8', 'PassEndY': '26.9', 'Length': '8.9', 'Angle': '1.22'}","[91, 119, 117, 30, 36, 37, 216, 218]",12,Pass,54.9,14.6
,,Pass,74.4,1.6,,,1983558,66,,Successful,"{'Zone': 'Right', 'PassEndX': '74.4', 'PassEndY': '1.6', 'Length': '4.6', 'Angle': '4.74'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",37,Pass,74.3,8.4
,,Pass,91.7,34.0,,,1983558,66,,Successful,"{'Zone': 'Center', 'PassEndX': '91.7', 'PassEndY': '34.0', 'Chipped': True, 'Length': '13.8', 'Angle': '1.55'}","[91, 119, 117, 30, 124, 205, 36, 37, 217, 218]",47,Pass,91.4,13.7
,,TakeOn,,,,,1983558,67,,Unsuccessful,"{'Zone': 'Back', 'OppositeRelatedEvent': '523', 'Defensive': True}","[91, 53]",39,TakeOn,24.8,39.4
,,Clearance,36.2,59.8,,,1983558,67,,Successful,"{'Zone': 'Back', 'PassEndX': '36.2', 'PassEndY': '59.8', 'Length': '24.1', 'Angle': '0.76'}","[91, 94, 95, 216]",48,Clearance,19.6,35.4
,,Carry,81.4,13.4,,,1983558,3,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 40.32, 'gap_seconds': 7}",[],54,Carry,60.7,48.0
,,Carry,70.8,30.3,,,1983558,4,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 15.94, 'gap_seconds': 8}",[],1,Carry,75.9,15.2
,,Carry,69.7,28.0,,,1983558,4,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 10.04, 'gap_seconds': 6}",[],9,Carry,61.8,34.2
,,Carry,55.7,17.7,,,1983558,16,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 19.85, 'gap_seconds': 5}",[],24,Carry,68.1,2.2
,,Carry,37.4,20.8,,,1983558,29,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 23.93, 'gap_seconds': 4}",[],16,Carry,53.5,3.1
,,Carry,69.4,82.9,,,1983558,40,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 10.8, 'gap_seconds': 7}",[],8,Carry,60.7,76.5
,,Carry,25.9,16.6,,,1983558,42,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 16.89, 'gap_seconds': 8}",[],48,Carry,20.5,32.6
,,Carry,14.6,15.2,,,1983558,42,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 6.7, 'gap_seconds': 2}",[],57,Carry,21.3,15.2
,,Carry,62.5,71.7,,,1983558,47,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 10.45, 'gap_seconds': 4}",[],8,Carry,58.6,81.4
,,Carry,54.9,14.6,,,1983558,66,"derived (gap+distance heuristic), not a native WhoScored event",Successful,"{'distance': 9.86, 'gap_seconds': 4}",[],8,Carry,53.8,24.4
,,Pass,38.2,7.7,,,1983568,0,,Successful,"{'Zone': 'Back', 'PassEndX': '38.2', 'PassEndY': '7.7', 'Length': '3.9', 'Angle': '4.09'}","[91, 117, 30, 35, 38, 216, 218]",27,Pass,40.4,12.4
,,Aerial,,,,,1983568,1,,Unsuccessful,"{'Zone': 'Back', 'OppositeRelatedEvent': '18', 'Defensive': True}","[198, 200]",15,Aerial,12.1,36.1
,,Pass,40.5,76.3,,,1983568,2,,Successful,"{'Zone': 'Back', 'PassEndX': '40.5', 'PassEndY': '76.3', 'Length': '18.2', 'Angle': '2.06'}","[91, 117, 30, 35, 37, 216, 218]",14,Pass,48.7,52.8
,,Pass,93.7,42.1,,,1983568,4,,Successful,"{'FreekickTaken': True, 'Zone': 'Center', 'PassEndX': '93.7', 'PassEndY': '42.1', 'IntentionalAssist': True, 'ShotAssist': '15', 'Length': '24.5', 'Angle': '1.22', 'BigChanceCreated': True, 'KeyPass': True}","[91, 119, 117, 30, 123, 132, 203, 205, 40, 44, 36, 37, 217, 218]",15,Pass,85.6,8.3
,,Pass,60.0,22.7,,,1983568,6,,Unsuccessful,"{'Zone': 'Center', 'PassEndX': '60.0', 'PassEndY': '22.7', 'Length': '18.4', 'Angle': '6.01'}","[91, 120, 29, 36, 38, 216, 218]",27,Pass,43.1,30.0
,,Pass,92.3,20.7,,,1983568,7,,Successful,"{'Zone': 'Right', 'PassEndX': '92.3', 'PassEndY': '20.7', 'Length': '15.4', 'Angle': '6.16'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",2,Pass,77.7,23.5
,,Pass,78.0,29.7,,,1983568,9,,Successful,"{'Zone': 'Center', 'PassEndX': '78.0', 'PassEndY': '29.7', 'Length': '7.3', 'Angle': '0.65'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",55,Pass,72.5,23.2
,,Pass,72.5,38.8,,,1983568,13,,Unsuccessful,"{'Longball': True, 'HeadPass': True, 'Zone': 'Center', 'PassEndX': '72.5', 'PassEndY': '38.8', 'Length': '33.7', 'Angle': '5.86'}","[91, 120, 139, 128, 36, 38, 217, 218]",4,Pass,43.2,59.2
,,Pass,40.0,17.3,,,1983568,13,,Successful,"{'Zone': 'Back', 'PassEndX': '40.0', 'PassEndY': '17.3', 'Length': '11.3', 'Angle': '4.19'}","[91, 117, 30, 35, 38, 216, 218]",39,Pass,45.4,31.7
,,Pass,61.6,74.1,,,1983568,14,,Successful,"{'Zone': 'Center', 'PassEndX': '61.6', 'PassEndY': '74.1', 'Length': '23.8', 'Angle': '0.73'}","[91, 119, 117, 30, 36, 37, 216, 218]",39,Pass,44.7,50.7
,,Pass,95.8,56.2,,,1983568,14,,Successful,"{'Zone': 'Center', 'PassEndX': '95.8', 'PassEndY': '56.2', 'IntentionalAssist': True, 'Chipped': True, 'ShotAssist': '15', 'Length': '23.4', 'Angle': '0.82', 'KeyPass': True}","[91, 119, 117, 30, 123, 124, 205, 40, 46, 36, 37, 217, 218]",53,Pass,80.6,31.0
,,Pass,74.7,6.0,,,1983568,15,,Successful,"{'Zone': 'Right', 'PassEndX': '74.7', 'PassEndY': '6.0', 'Length': '17.9', 'Angle': '5.41'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",18,Pass,63.7,26.2
,,Pass,54.4,49.2,,,1983568,15,,Successful,"{'Zone': 'Center', 'PassEndX': '54.4', 'PassEndY': '49.2', 'Length': '27.8', 'Angle': '2.14'}","[91, 119, 117, 30, 35, 37, 216, 218]",24,Pass,68.6,14.7
,,Pass,72.8,42.3,,,1983568,16,,Unsuccessful,"{'Zone': 'Center', 'PassEndX': '72.8', 'PassEndY': '42.3', 'Length': '14.0', 'Angle': '0.00'}","[91, 120, 29, 36, 217, 218]",36,Pass,59.5,42.3
,,Pass,96.3,31.5,,,1983568,17,,Successful,"{'Throughball': True, 'Zone': 'Center', 'PassEndX': '96.3', 'PassEndY': '31.5', 'IntentionalAssist': True, 'ShotAssist': '15', 'Length': '15.8', 'Angle': '0.08', 'BigChanceCreated': True, 'KeyPass': True}","[91, 119, 117, 30, 123, 129, 203, 205, 40, 43, 36, 37, 217, 218]",14,Pass,81.3,29.7
,,Pass,92.3,5.6,,,1983568,17,,Successful,"{'Zone': 'Right', 'ThrowIn': True, 'PassEndX': '92.3', 'PassEndY': '5.6', 'Length': '7.4', 'Angle': '0.63'}","[91, 212, 36, 37, 217]",26,Pass,86.6,0.0
,,Pass,82.9,4.5,,,1983568,17,,Successful,"{'Zone': 'Right', 'PassEndX': '82.9', 'PassEndY': '4.5', 'Length': '5.1', 'Angle': '4.36'}","[91, 119, 117, 30, 205, 35, 38, 217, 218]",29,Pass,84.6,11.6
,,Pass,63.8,13.6,,,1983568,17,,Successful,"{'Zone': 'Right', 'PassEndX': '63.8', 'PassEndY': '13.6', 'Length': '23.0', 'Angle': '2.95'}","[91, 119, 117, 30, 35, 37, 216, 218]",34,Pass,85.3,7.2
,,Pass,67.4,44.5,,,1983568,17,,Successful,"{'Zone': 'Center', 'PassEndX': '67.4', 'PassEndY': '44.5', 'Length': '9.3', 'Angle': '1.96'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",47,Pass,70.8,31.8
,,Pass,80.3,28.5,,,1983568,17,,Successful,"{'Zone': 'Center', 'PassEndX': '80.3', 'PassEndY': '28.5', 'Length': '6.8', 'Angle': '1.81'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",58,Pass,81.8,18.8
,,Pass,87.1,8.3,,,1983568,18,,Successful,"{'Zone': 'Right', 'PassEndX': '87.1', 'PassEndY': '8.3', 'Length': '24.1', 'Angle': '5.93'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",30,Pass,65.6,20.6
,,BallTouch,,,,,1983568,20,,Unsuccessful,{'Zone': 'Center'},"[91, 69]",25,BallTouch,90.0,65.6
91.6,40.1,SavedShot,,,47.2,19.0,1983568,22,,Successful,"{'BoxCentre': True, 'FastBreak': True, 'Assisted': True, 'RelatedEventId': '182', 'Zone': 'Center', 'LeftFoot': True, 'LowRight': True, 'Blocked': True, 'GoalMouthY': '47.2', 'GoalMouthZ': '19.0', 'BlockedX': '91.6', 'BlockedY': '40.1', 'IntentionalAssist': True, 'OppositeRelatedEvent': '156'}","[91, 10, 1, 4, 11, 13]",34,SavedShot,89.9,38.6
,,Pass,59.0,52.3,,,1983568,23,,Successful,"{'Zone': 'Center', 'PassEndX': '59.0', 'PassEndY': '52.3', 'Length': '23.2', 'Angle': '1.71'}","[91, 119, 117, 30, 35, 37, 216, 218]",52,Pass,62.0,18.5
,,Pass,88.5,58.6,,,1983568,29,,Unsuccessful,"{'Cross': True, 'Zone': 'Center', 'LeftFoot': True, 'PassEndX': '88.5', 'PassEndY': '58.6', 'Chipped': True, 'Length': '26.7', 'Angle': '5.40'}","[91, 138, 124, 126, 36, 38, 217, 218]",24,Pass,72.4,88.9
,,Foul,,,,,1983568,31,,Successful,"{'Foul': True, 'Zone': 'Center', 'OppositeRelatedEvent': '237', 'Offensive': True}","[91, 63]",2,Foul,60.2,36.3
,,Pass,84.5,9.2,,,1983568,32,,Successful,"{'Zone': 'Right', 'PassEndX': '84.5', 'PassEndY': '9.2', 'Length': '12.3', 'Angle': '4.50'}","[91, 119, 117, 30, 205, 35, 38, 217, 218]",16,Pass,87.0,26.8
,,Pass,90.7,68.0,,,1983568,32,,Successful,"{'Throughball': True, 'Zone': 'Center', 'PassEndX': '90.7', 'PassEndY': '68.0', 'Chipped': True, 'Length': '14.3', 'Angle': '0.15'}","[91, 119, 117, 30, 124, 129, 205, 36, 37, 217, 218]",29,Pass,77.2,64.9
,,Pass,28.7,39.2,,,1983568,34,,Unsuccessful,"{'Zone': 'Back', 'PassEndX': '28.7', 'PassEndY': '39.2', 'Length': '7.9', 'Angle': '1.91'}","[91, 118, 120, 29, 35, 37, 215, 218]",48,Pass,31.2,28.2
,,Pass,75.3,39.2,,,1983568,38,,Successful,"{'Zone': 'Center', 'PassEndX': '75.3', 'PassEndY': '39.2', 'Length': '19.8', 'Angle': '4.74'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",54,Pass,74.8,68.3
,,Pass,64.1,39.4,,,1983568,39,,Successful,"{'Zone': 'Center', 'PassEndX': '64.1', 'PassEndY': '39.4', 'Length': '21.2', 'Angle': '2.03'}","[91, 119, 117, 30, 35, 37, 216, 218]",13,Pass,73.1,11.5
,,BallRecovery,,,,,1983568,47,,Successful,{},[93],23,BallRecovery,62.1,61.7
,,Pass,74.8,80.6,,,1983568,47,,Successful,"{'Zone': 'Left', 'PassEndX': '74.8', 'PassEndY': '80.6', 'Length': '10.0', 'Angle': '0.55'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",25,Pass,66.7,73.0
,,Dispossessed,,,,,1983568,47,,Successful,"{'Zone': 'Center', 'OppositeRelatedEvent': '339', 'Offensive': True}","[91, 70]",29,Dispossessed,70.3,69.3
,,Pass,48.7,51.4,,,1983568,45,,Successful,"{'Zone': 'Back', 'PassEndX': '48.7', 'PassEndY': '51.4', 'Length': '1.6', 'Angle': '2.39'}","[91, 117, 30, 35, 37, 216, 218]",0,Pass,49.8,49.8
,,Foul,,,,,1983568,47,,Successful,"{'Foul': True, 'Zone': 'Right', 'OppositeRelatedEvent': '372', 'Offensive': True}","[91, 63]",33,Foul,62.0,9.6
,,Pass,82.3,12.3,,,1983568,48,,Successful,"{'Zone': 'Right', 'PassEndX': '82.3', 'PassEndY': '12.3', 'Length': '11.5', 'Angle': '5.40'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",15,Pass,75.3,25.4
,,Pass,73.3,6.9,,,1983568,48,,Successful,"{'Zone': 'Right', 'PassEndX': '73.3', 'PassEndY': '6.9', 'Length': '13.7', 'Angle': '5.00'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",23,Pass,69.6,26.2
,,BallRecovery,,,,,1983568,49,,Successful,{},[93],27,BallRecovery,36.6,30.4
,,Pass,53.7,49.5,,,1983568,49,,Successful,"{'Zone': 'Center', 'PassEndX': '53.7', 'PassEndY': '49.5', 'Length': '16.8', 'Angle': '0.64'}","[91, 119, 117, 30, 36, 37, 216, 218]",28,Pass,40.8,34.8
,,Goal,,,49.9,22.2,1983568,49,,Successful,"{'BoxCentre': True, 'FastBreak': True, 'Assisted': True, 'RelatedEventId': '452', 'Zone': 'Center', 'LeftFoot': True, 'HighCentre': True, 'GoalMouthY': '49.9', 'GoalMouthZ': '22.2', 'IntentionalAssist': True, 'BigChance': True}","[91, 24, 9, 10, 202, 1, 4, 13, 17, 20, 26]",40,Goal,90.2,51.6
,,Pass,47.7,32.9,,,1983568,52,,Successful,"{'Zone': 'Back', 'PassEndX': '47.7', 'PassEndY': '32.9', 'Length': '21.1', 'Angle': '2.33'}","[91, 117, 30, 35, 37, 216, 218]",4,Pass,61.5,10.3
,,Pass,61.3,54.4,,,1983568,52,,Successful,"{'Zone': 'Center', 'PassEndX': '61.3', 'PassEndY': '54.4', 'Length': '16.3', 'Angle': '4.22'}","[91, 119, 117, 30, 35, 38, 216, 218]",38,Pass,68.6,75.5
,,Pass,59.0,50.6,,,1983568,52,,Successful,"{'Zone': 'Center', 'PassEndX': '59.0', 'PassEndY': '50.6', 'Length': '9.9', 'Angle': '4.43'}","[91, 119, 117, 30, 35, 38, 216, 218]",41,Pass,61.6,64.6
,,Pass,56.4,47.3,,,1983568,52,,Successful,"{'Zone': 'Center', 'PassEndX': '56.4', 'PassEndY': '47.3', 'Length': '9.7', 'Angle': '4.39'}","[91, 119, 117, 30, 35, 38, 216, 218]",43,Pass,59.3,60.9
,,Pass,67.1,82.9,,,1983568,52,,Successful,"{'Zone': 'Left', 'PassEndX': '67.1', 'PassEndY': '82.9', 'Length': '16.9', 'Angle': '0.95'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",47,Pass,57.8,62.7
,,Pass,75.8,93.5,,,1983568,52,,Successful,"{'Zone': 'Left', 'PassEndX': '75.8', 'PassEndY': '93.5', 'Length': '16.3', 'Angle': '0.70'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",51,Pass,63.9,78.0
,,Pass,87.9,17.0,,,1983568,53,,Successful,"{'Zone': 'Right', 'PassEndX': '87.9', 'PassEndY': '17.0', 'Length': '16.6', 'Angle': '5.37'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",29,Pass,78.2,36.2
,,Pass,81.9,48.8,,,1983568,55,,Successful,"{'Zone': 'Center', 'PassEndX': '81.9', 'PassEndY': '48.8', 'Length': '12.3', 'Angle': '4.87'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",1,Pass,80.0,66.7
,,Pass,47.8,29.8,,,1983568,55,,Successful,"{'Zone': 'Back', 'PassEndX': '47.8', 'PassEndY': '29.8', 'Length': '10.1', 'Angle': '0.69'}","[91, 117, 30, 36, 37, 216, 218]",26,Pass,40.4,20.4
,,Pass,95.3,71.2,,,1983568,58,,Successful,"{'FreekickTaken': True, 'Zone': 'Center', 'PassEndX': '95.3', 'PassEndY': '71.2', 'Length': '27.8', 'Angle': '0.00'}","[91, 119, 117, 30, 132, 205, 36, 37, 217, 218]",34,Pass,68.8,71.1
,,Pass,86.7,26.2,,,1983568,58,,Successful,"{'Zone': 'Center', 'PassEndX': '86.7', 'PassEndY': '26.2', 'Length': '15.0', 'Angle': '0.09'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",44,Pass,72.5,24.2
,,Pass,94.4,7.7,,,1983568,59,,Unsuccessful,"{'Zone': 'Right', 'PassEndX': '94.4', 'PassEndY': '7.7', 'Chipped': True, 'Length': '20.5', 'Angle': '0.08'}","[91, 120, 29, 124, 36, 37, 217, 218]",52,Pass,74.9,5.4
,,BallTouch,,,,,1983568,64,,Successful,{'Zone': 'Back'},[91],42,BallTouch,24.3,24.8
,,Pass,29.7,42.1,,,1983568,67,,Successful,"{'Zone': 'Back', 'PassEndX': '29.7', 'PassEndY': '42.1', 'Length': '14.0', 'Angle': '4.37'}","[91, 117, 30, 35, 38, 215, 218]",31,Pass,34.2,61.5
,,Pass,31.0,22.4,,,1983568,67,,Successful,"{'Zone': 'Back', 'PassEndX': '31.0', 'PassEndY': '22.4', 'Length': '14.1', 'Angle': '4.85'}","[91, 117, 30, 36, 38, 215, 218]",46,Pass,29.1,43.0
,,Pass,46.3,70.5,,,1983568,67,,Successful,"{'Zone': 'Back', 'PassEndX': '46.3', 'PassEndY': '70.5', 'Length': '23.4', 'Angle': '1.49'}","[91, 117, 30, 36, 37, 216, 218]",54,Pass,44.4,36.2
,,Pass,88.3,56.4,,,1983568,68,,Successful,"{'Zone': 'Center', 'PassEndX': '88.3', 'PassEndY': '56.4', 'IntentionalAssist': True, 'ShotAssist': '15', 'Length': '15.5', 'Angle': '5.90', 'KeyPass': True}","[91, 119, 117, 30, 123, 205, 40, 46, 36, 38, 217, 218]",6,Pass,74.6,65.0
,,Pass,77.1,29.5,,,1983568,68,,Successful,"{'Zone': 'Center', 'PassEndX': '77.1', 'PassEndY': '29.5', 'Length': '8.4', 'Angle': '0.41'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",31,Pass,69.8,24.6
,,Pass,89.0,17.1,,,1983568,70,,Successful,"{'Zone': 'Right', 'PassEndX': '89.0', 'PassEndY': '17.1', 'Length': '6.0', 'Angle': '5.59'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",25,Pass,84.6,22.7
,,Pass,89.2,29.9,,,1983568,70,,Successful,"{'Zone': 'Center', 'PassEndX': '89.2', 'PassEndY': '29.9', 'Length': '7.1', 'Angle': '0.47'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",28,Pass,83.2,25.2
