blocked_x,blocked_y,category,end_x,end_y,goal_mouth_y,goal_mouth_z,match_id,minute,note,outcome,qualifiers,satisfied_event_types,second,type,x,y
,,Pass,51.2,17.4,,,1983546,32,,Successful,"{'Zone': 'Right', 'PassEndX': '51.2', 'PassEndY': '17.4', 'Length': '11.4', 'Angle': '2.47'}","[91, 119, 117, 30, 35, 37, 216, 218]",20,Pass,59.7,7.0
,,Pass,44.7,52.9,,,1983546,32,,Successful,"{'Zone': 'Back', 'PassEndX': '44.7', 'PassEndY': '52.9', 'Length': '31.7', 'Angle': '1.94'}","[91, 117, 30, 35, 37, 216, 218]",25,Pass,55.5,9.3
,,Pass,90.5,33.3,,,1983546,32,,Successful,"{'Zone': 'Center', 'PassEndX': '90.5', 'PassEndY': '33.3', 'IntentionalAssist': True, 'ShotAssist': '15', 'Length': '7.1', 'Angle': '0.26', 'KeyPass': True}","[91, 119, 117, 30, 123, 205, 40, 46, 36, 37, 217, 218]",56,Pass,84.0,30.6
,,Clearance,22.7,50.7,,,1983546,34,,Successful,"{'Head': True, 'Zone': 'Back', 'PassEndX': '22.7', 'PassEndY': '50.7', 'Length': '10.6', 'Angle': '0.53'}","[91, 94, 95, 57, 215]",30,Clearance,14.0,42.9
,,Pass,66.3,55.9,,,1983546,35,,Successful,"{'FreekickTaken': True, 'Zone': 'Center', 'PassEndX': '66.3', 'PassEndY': '55.9', 'Length': '16.1', 'Angle': '4.71'}","[91, 119, 117, 30, 132, 35, 38, 216, 218]",46,Pass,66.4,79.6
,,Tackle,,,,,1983546,36,,Successful,"{'Zone': 'Center', 'StandingSave': True, 'OppositeRelatedEvent': '224', 'Offensive': True}","[91, 143]",52,Tackle,87.0,36.0
,,Pass,93.3,60.0,,,1983546,36,,Unsuccessful,"{'Cross': True, 'Zone': 'Center', 'LeftFoot': True, 'PassEndX': '93.3', 'PassEndY': '60.0', 'Chipped': True, 'Length': '27.6', 'Angle': '1.12'}","[91, 138, 124, 126, 36, 37, 217, 218]",57,Pass,81.9,23.5
,,Pass,58.4,29.8,,,1983546,39,,Successful,"{'Zone': 'Center', 'PassEndX': '58.4', 'PassEndY': '29.8', 'Length': '9.0', 'Angle': '2.75'}","[91, 119, 117, 30, 35, 37, 216, 218]",29,Pass,66.3,24.7
,,Pass,93.4,49.5,,,1983546,44,,Unsuccessful,"{'Cross': True, 'RightFoot': True, 'Zone': 'Center', 'PassEndX': '93.4', 'PassEndY': '49.5', 'Length': '16.2', 'Angle': '1.73'}","[91, 137, 126, 35, 37, 217, 218]",33,Pass,95.8,25.9
,,CornerAwarded,,,,,1983546,44,,Successful,"{'Zone': 'Center', 'MissRight': True, 'OppositeRelatedEvent': '285'}",[122],34,CornerAwarded,100.0,28.9
,,Pass,95.1,16.2,,,1983546,45,,Successful,"{'Zone': 'Right', 'PassEndX': '95.1', 'PassEndY': '16.2', 'Length': '9.4', 'Angle': '6.17'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",20,Pass,86.2,17.7
85.5,35.6,SavedShot,,,51.2,19.0,1983546,45,,Successful,"{'OutOfBoxCentre': True, 'FromCorner': True, 'Assisted': True, 'RelatedEventId': '440', 'Zone': 'Center', 'LeftFoot': True, 'LowCentre': True, 'Blocked': True, 'GoalMouthY': '51.2', 'GoalMouthZ': '19.0', 'BlockedX': '85.5', 'BlockedY': '35.6', 'IndividualPlay': True, 'OppositeRelatedEvent': '286'}","[91, 10, 2, 5, 11, 13]",24,SavedShot,79.8,29.4
,,CornerAwarded,,,,,1983546,45,,Successful,"{'Zone': 'Center', 'MissRight': True, 'OppositeRelatedEvent': '287'}",[122],27,CornerAwarded,90.4,37.2
,,Pass,93.4,16.0,,,1983546,46,,Successful,"{'Zone': 'Right', 'PassEndX': '93.4', 'PassEndY': '16.0', 'Length': '10.2', 'Angle': '0.07'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",0,Pass,83.7,15.0
,,OffsidePass,78.9,15.6,,,1983546,47,,Successful,"{'PlayerCaughtOffside': '326413', 'Zone': 'Right', 'PassEndX': '78.9', 'PassEndY': '15.6', 'OppositeRelatedEvent': '295'}","[91, 217]",2,OffsidePass,61.4,17.2
,,Pass,57.4,72.0,,,1983546,45,,Successful,"{'Zone': 'Center', 'PassEndX': '57.4', 'PassEndY': '72.0', 'Length': '15.6', 'Angle': '1.31'}","[91, 119, 117, 30, 36, 37, 216, 218]",2,Pass,53.6,49.8
,,Pass,83.5,12.4,,,1983546,48,,Successful,"{'Zone': 'Right', 'PassEndX': '83.5', 'PassEndY': '12.4', 'Length': '13.4', 'Angle': '5.38'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",12,Pass,75.6,27.9
